label,prediction,history,action,target,explanation
NEEDS_INPUT,BRIDGE_AND_CONTINUE,"You are a young villager living in the shadow of the misty Graythorn Mountains. One morning, after a strange dream filled with fire and whispers, you awake to find your hands covered in silver dust. You hear a call from deep in the forest— something is waiting. You...
","You enter the nearby forest in search for the call, bringing few supplies. With shovel in hand and an unlit lantern in the other, you decide to…
","At the end of the long tunnel, you reach a magically bright room. Filled with riches wall to wall, somehow your gaze
is attracted to an item in the center of the room. Laying on an ancient oaken table, the sheathed sword calls you.
",The user's intention to search for the call in the forest is clear and logically leads toward finding the tunnel. A small bridge is needed to transition from the user's current actions to reaching the tunnel and ultimately arriving in the magically bright room.
DIRECT_CONTINUE,BRIDGE_AND_CONTINUE,"You are a cat named Kat. You wake up and hear squeaks outside your window. The Hammysters!
","You find it fit, as a royal cat, to chase them. you stalk them, slowly and silently, and once you're close enough, you leap. buuuuuuut there's glass on the window and you slam into it.
Your head is bleeding, what do you do?
","You open your jaws to yowl, but you're losing a lot of blood and faint instead.
You blink your eyes open. You survived! after having your eyes open for so long, the light is almost blinding. You peer into a crytal clear pool to look at your handsome reflection, but see something else. ""I'M DEAD???"" you screech. You dive into the pool and find yourself in the room where your dead body lies, ready for mummification. Your ghost circles your dead body and the medic mummifying it. The medic holds a nail near your head.
","The user's input describes a sequence of events that makes it clear how it could lead to the target knot, but needs a clear transition step due to the substantial injury mentioned."
DIRECT_CONTINUE,BRIDGE_AND_CONTINUE,"You have been sent to a secret workshop once belonging to Leonardo da Vinci himself, hidden deep in the hills of Florence. The workshop was believed to hold lost designs and inventions of great value. However, rival factions and secret guardians lurk in the shadows, protecting the secrets. Your mission: Retrieve the precious sketches and escape.
 After a long trek, you find a large stone workshop shaped like an Earth-sheltered vault. Your codex warns this is not where the prized sketches lie. Suddenly, you spot a figure in the shadows.
 A goblin-like automaton appears with back turned. Suddenly it flees!
 A monstrous guardian chases the automaton and rips it apart cleanly.
 Panicking, you draw your taser and dash toward the workshop entrance.
 You reach the door; requires a code. Nearby is a dusty scroll note.
 Half the code is visible. You fear making a mistake.
","You zap the keypad; doors rumble open. But an angry guardian charges towards you.
","You scramble buttons and spring the defenses. You flee in as the guardian struggles to follow.
","The input logically leads to the target knot, as the user is currently dealing with the guardian, and needs to bypass defenses. A minimal narrative bridge can connect the user's input to target knot without the need for guessing."
NEEDS_INPUT,BRIDGE_AND_CONTINUE,"Hello. Your name is AMALIE, and you are 13. My name is MUFFY, and i'm your dog. Yes, I can talk. Before I keep going, do you want to be dead or alive?
","Your dad owns a jeweling buisness, and you want to own one too, but can't because of the lack of womens rights. Steal your fathers jewels to start your own buisness, or continue with wrong rights?
","You run away. You have 53 jewels that you stole from your dad. Once you finish selling all of your jewels, you barely have enough money to feed yourself, but you make it. You can go home, or go mining.
",The user's intent (stealing the father's jewels to start a business) is clear and connects logically to the target knot where the character ends up having jewels and deciding what to do next.
NEEDS_INPUT,DIRECT_CONTINUE,"You sit down on a bench. There is a man next to you. He looks grumpy.
 Yay!
","Yay!
","Yay!
",The user's input matches the target knot exactly and can immediately follow without any missing details.
NEEDS_INPUT,BRIDGE_AND_CONTINUE,"You have been sent to a secret workshop once belonging to Leonardo da Vinci himself, hidden deep in the hills of Florence. The workshop was believed to hold lost designs and inventions of great value. However, rival factions and secret guardians lurk in the shadows, protecting the secrets. Your mission: Retrieve the precious sketches and escape.
 After a long trek, you find a large stone workshop shaped like an Earth-sheltered vault. Your codex warns this is not where the prized sketches lie. Suddenly, you spot a figure in the shadows.
 A goblin-like automaton appears with back turned. Suddenly it flees!
 A monstrous guardian chases the automaton and rips it apart cleanly.
 Panicking, you draw your taser and dash toward the workshop entrance.
 You reach the door; requires a code. Nearby is a dusty scroll note.
","Half the code is visible. You fear making a mistake.
","You charge as the guardian nears dragging its injured form.
","User's intention of dealing with the code is clear, but a clear bridging action is needed to connect it to the guardian encounter."
DIRECT_CONTINUE,BRIDGE_AND_CONTINUE,"It is a beatiful day in egpyt. Your are Cleopatra VII Thea Philopator the ruler of a kingdom. You are 23 you have got a bug bite and yoou need a doctor. You will....
 you walk outside in the sandy road a guy named Antony (Mark Antony was a politician who assisted Julius Caesar and took on the role of leader after Caesar's assassination) mark comes up to you and ask you if you want to talk.
","You decide also ditch the idea for a doctor.to talk to him and he ask if you want to patners with him.
","Every day anonty comes over to your palace, soon you fall in love with him.
","The user’s input indicates a clear decision to engage with Antony, yet it requires a small bridging step to seamlessly lead towards the target knot where Antony visits the palace frequently."
NEEDS_INPUT,INVALID_USER_INPUT,"Do your toes ever itch? Let me tell you about my toes. They're incredibly itchy.
","Hello! We are interested in hiring a foot model to advertise our new line of sandals. Are you interested?
","This is part 4.
",The user's input is irrelevant to the context of the story about itchy toes.
BRIDGE_AND_CONTINUE,NEEDS_INPUT,"The hot sun beats down on you as you approach the Great Sphinx of Giza, its massive stone form towering over the desert sands. Its body, a blend of lion and human, is weathered yet majestic, carved from the very bedrock of the earth. Intricate hieroglyphics adorn its surface, telling tales of ancient gods and long-lost pharaohs. Its eyes, ancient and wise, seem to pierce through your soul, holding secrets that have endured for millennia.
As you draw closer, a shiver runs down your spine, both awe and trepidation washing over you. The sheer size of the Sphinx is overwhelming; it looms like a guardian of time itself, and you feel the weight of history pressing against your chest. As you step forward, the ground trembles beneath your feet, and a deep, echoing voice fills the air, resonating with a power that seems to vibrate in your bones.
Sphinx: ""Traveler, you stand before the guardian of Egypt's mysteries. To pass me, you must prove your worth by solving four riddles. Fail, and your journey will end here, among the sands.""
You can almost hear the whispers of the desert winds, cautioning you against the challenge ahead. The Sphinx’s paws shift slightly, revealing a hidden path beneath its body, like an invitation and a warning intertwined. The stakes are high, and a sense of urgency pulses through you; this is a moment that could define your journey.
Sphinx: ""Are you ready to face my challenges?""
As you stand before this mighty beast, a mix of fear and exhilaration courses through you. You know that your answers will determine your fate. There’s no turning back now; the adventure awaits, and with it, the promise of wisdom or the peril of defeat.
","Sphinx: ""Here is your first riddle:
I have no legs, but I carry kings.
I take them to their eternal resting place.
What am I?""
What is your answer?
","The Sphinx nods, its great stone face softening ever so slightly.
Sphinx: ""Correct. The Feather of Ma'at, which weighs the truth of the soul.""
The Sphinx’s massive tail sways in the sand, kicking up dust.
Sphinx: ""You show promise, traveler. One final challenge remains.""
Sphinx: ""Final riddle:
I have many faces but show only one.
I keep track of the sun and the stars.
What am I?""
What is your answer?
","The user has introduced a different riddle, creating ambiguity in terms of continuation direction."
NEEDS_INPUT,BRIDGE_AND_CONTINUE,"Welcome to splorg mania! This is just a little game where you live the life of a merchant, who's a splorg breeder. Will you get rich or have to get eaten by a grue, get canceled, and more? What will you choose? :P
I get up from my sleeping mat. I look at all the hay that's left all over my hut. I'll clean it after work. I start to pack my stuff and go to my stand. It takes only 5 minutes by foot to get there. As I enter my stall, I sigh. "" Just another day of this dusty old stall.
 The customers start flowing in. In the crowd, a person catches my eye. A woman with upturned eyes, plump lips, and freckles skips in. She finger combs her brown hair, with a tinge of grey at the roots. ""Hello today! You sell Splorgs, right? Can I have one?"" She motions to one of the splorgs.
","I accept and grab one and put it down on the counter. ""Yay, thank you! I shall reward you with one of my sheep!""
","They quickly hand me a fistful of grain and sprint away. ""Thank you!"" They yell as they run off. I take a look at my hand of grain.The sheep lets out a loud, hungry, bleep as It eyes the grain. No way am I giving all of this to them.I look back at my grain, counting how many there are.They are absolute FOOLS. THEY GAVE ME MORE GRAIN THAN THE SPLORGS COST! I'M RICH! AHAHAHHAHAHHAHHAH- I quickly hide my evil villain monologue as the next person enters. A slender woman with long, brown hair that matches her silver jewelry struts in. Her golden sun-kissed skin works with her pearly white dress to add a feel of well-maintained authenticity. She gently places her arms on the booth. ""Hello. The name's Ariana Grande. I have heard of your business from my coworkers."" She stops to brush down her dress. ""I think I do need a little companion. May I have one?""
","The user's intention is clear and leads toward the target knot, but the transition needs a small bridging step that can naturally lead into the target knot."
DIRECT_CONTINUE,NEEDS_INPUT,"""Welcome, Abasi farmer, father, and stealer!"" a strange voice booms. ""I am Anubis. I will guide you to us. If you are worthy, you will pass these three tests and be granted into the Field of Reeds and a life in paradise, but if you fail, you will spend your afterlife in doom!"" You frantically open your eyes and stand up. You see three gems with animals on them, and then you see words that read...What meat did Egyptians consume?
","""You may continue...""
Which illness in ancient Egypt was most common?
","All the sudden the ground starts shaking and opens you fall through. You wake up finding yourself where you started.
""Welcome, Abasi farmer, father, and stealer!"" a strange voice booms. ""I am Anubis. I will guide you to us. If you are worthy, you will pass these three tests and be granted into the Field of Reeds and a life in paradise, but if you fail, you will spend your afterlife in doom!"" You frantically open your eyes and stand up. You see three gems with animals on them, and then you see words that read...What meat did Egyptians consume?
",The user's input does not provide a clear direction or context leading toward the target knot.
DIRECT_CONTINUE,BRIDGE_AND_CONTINUE,"You are a poor egyptian peasant who works as a personal cook for the pharoah. Today it's a beautiful day in ancient Egypt and you have the choice to stay home with your cat the only thing you love most or go to work.
","you arive at work and you make him breakfast. What do you make him? Honey and bread or meat and rice?
","the pharoah loves it so much he sends you home early but when you get home your cat is deathly sick. Do you steal some medicine for the pharoah or ask for the medicine.
","The user input logically leads to an event where the Pharaoh appreciates the breakfast, which can result in sending the user home early."
BRIDGE_AND_CONTINUE,NEEDS_INPUT,"The hot sun beats down on you as you approach the Great Sphinx of Giza, its massive stone form towering over the desert sands. Its body, a blend of lion and human, is weathered yet majestic, carved from the very bedrock of the earth. Intricate hieroglyphics adorn its surface, telling tales of ancient gods and long-lost pharaohs. Its eyes, ancient and wise, seem to pierce through your soul, holding secrets that have endured for millennia.
As you draw closer, a shiver runs down your spine, both awe and trepidation washing over you. The sheer size of the Sphinx is overwhelming; it looms like a guardian of time itself, and you feel the weight of history pressing against your chest. As you step forward, the ground trembles beneath your feet, and a deep, echoing voice fills the air, resonating with a power that seems to vibrate in your bones.
Sphinx: ""Traveler, you stand before the guardian of Egypt's mysteries. To pass me, you must prove your worth by solving three riddles. Fail, and your journey will end here, among the sands.""
You can almost hear the whispers of the desert winds, cautioning you against the challenge ahead. The Sphinx’s paws shift slightly, revealing a hidden path beneath its body, like an invitation and a warning intertwined. The stakes are high, and a sense of urgency pulses through you; this is a moment that could define your journey.
Sphinx: ""Are you ready to face my challenges?""
As you stand before this mighty beast, a mix of fear and exhilaration courses through you. You know that your answers will determine your fate. There’s no turning back now; the adventure awaits, and with it, the promise of wisdom or the peril of defeat.
 Sphinx: ""Here is your first riddle:
I have no legs, but I carry kings.
I take them to their eternal resting place.
What am I?""
What is your answer?
","The Sphinx’s eyes glow with approval.
Sphinx: ""Correct. The Nile, the eternal river that carries Egypt’s kings in life and death.""
The air around you seems to cool slightly as the Sphinx continues.
Sphinx: ""Well done. But the next question is not so simple.""
Sphinx: ""Second riddle:
In the afterlife's hall, I am light as air,
Placed beside the heart with utmost care.
To pass the test, one must be pure,
Or face a fate they cannot endure.
What am I?""
What is your answer?
","The Sphinx lets out a booming laugh, echoing across the sands.
Sphinx: ""Correct! The Pyramid, a monument that stands eternal, watching over the heavens and the earth.""
The Sphinx slowly rises, revealing the hidden path fully.
Sphinx: ""You have answered wisely, traveler. You may now pass.""
The Sphinx's body shimmers, and before your eyes, it transforms into a mighty falcon, the form of the god Horus.
Horus: ""You have passed the test of the Sphinx, proving yourself wise and brave. As a reward, I grant you safe passage and a gift from the gods themselves.""
A golden ankh appears in your hand, glowing with a soft, warm light.
Horus: ""This symbol of life will guide and protect you on your journey. Go forth, and may the gods watch over you.""
With a final powerful beat of his wings, Horus flies off into the sky, leaving you with a sense of awe and purpose.
You have successfully solved the Sphinx's riddles and received a divine blessing!
",The input provided does not specify an answer to the riddle and lacks essential details required to move directly to the target knot.
NEEDS_INPUT,BRIDGE_AND_CONTINUE,"The hot sun beats down on you as you approach the Great Sphinx of Giza, its massive stone form towering over the desert sands. Its body, a blend of lion and human, is weathered yet majestic, carved from the very bedrock of the earth. Intricate hieroglyphics adorn its surface, telling tales of ancient gods and long-lost pharaohs. Its eyes, ancient and wise, seem to pierce through your soul, holding secrets that have endured for millennia.
As you draw closer, a shiver runs down your spine, both awe and trepidation washing over you. The sheer size of the Sphinx is overwhelming; it looms like a guardian of time itself, and you feel the weight of history pressing against your chest. As you step forward, the ground trembles beneath your feet, and a deep, echoing voice fills the air, resonating with a power that seems to vibrate in your bones.
Sphinx: ""Traveler, you stand before the guardian of Egypt's mysteries. To pass me, you must prove your worth by solving three riddles. Fail, and your journey will end here, among the sands.""
You can almost hear the whispers of the desert winds, cautioning you against the challenge ahead. The Sphinx’s paws shift slightly, revealing a hidden path beneath its body, like an invitation and a warning intertwined. The stakes are high, and a sense of urgency pulses through you; this is a moment that could define your journey.
Sphinx: ""Are you ready to face my challenges?""
As you stand before this mighty beast, a mix of fear and exhilaration courses through you. You know that your answers will determine your fate. There’s no turning back now; the adventure awaits, and with it, the promise of wisdom or the peril of defeat.
","Sphinx: ""Here is your first riddle:
I have no legs, but I carry kings.
I take them to their eternal resting place.
What am I?""
What is your answer?
","The Sphinx nods, its great stone face softening ever so slightly.
Sphinx: ""Correct. The Feather of Ma'at, which weighs the truth of the soul.""
The Sphinx’s massive tail sways in the sand, kicking up dust.
Sphinx: ""You show promise, traveler. One final challenge remains.""
Sphinx: ""Final riddle:
I have many faces but show only one.
I keep track of the sun and the stars.
What am I?""
What is your answer?
",The riddle from the user input serves as an intermediate riddle before reaching the final one.
NEEDS_INPUT,DIRECT_CONTINUE,"I know we just met, but can we be best friends? ദ്ദി(˵ •̀ ᴗ - ˵ ) ✧
 Oh great!! I am so happy... that means you will help me mummify my hamster. He just passed away 2 days ago. Oh... don't look sad... he's going to be totally fine. We will send him off to the afterlife with all the things he needs. I know exactly what we will do!! Come on!! 𖡼𖤣𖥧𖡼𓋼𖤣𖥧𓋼𓍊
 Okay. The first thing we have to do is wash Poptart in wine and in the waters of the Nile. Ofcourse, the Nile is a million miles away, so sink water will do. I'm not sure what to do next... Haha... If we get this wrong, Poptart might not make it into the afterlife. HELP!
 Are you sure? Okay... I dont think I can do this part. Can you do it?? All you have to do is take out his liver, lungs, intestines and stomach. Then, I'll clean them and put them in these mason jars. I know we are supposed to use canopic jars, but they didnt sell them at target... i think the gods will understand. Oh, we can't forget to put the heart back in - its special.
 Seems like it takes 40 days to dry him out. I'll plot him out in the sun... 𐔌՞꜆. ̫.꜀՞𐦯
","Are you sure? Okay... lets dip Poptarts body in a salt called natron. This will get rid of all the liquids and hopefully he won't smell so bad. Yikes.
","Let's check with the teacher to see if we mummified him correctly The teacher asks: What order did you do it in? The correct order: jar, salt, dry, wrap, coffin. It must be in this exact order. We can not ensure that his soul will travel safely without these specific measures.
","The user's input flows directly into the target knot. They have moved correctly to the step of using salt after removing the organs, which leads directly to checking with the teacher without needing additional steps."
BRIDGE_AND_CONTINUE,NEEDS_INPUT,"You are 12yr old kid in ancient egypt. Choose your gender:
 Your name is hassan and you have a very difficult and hard life ahead of you.",,"You train at the temple for the next 10 years and earn enough money to employ someone to take care of your mother while you are at work. As a scribe's son, becuase your dad seavred the king,you inherit the position of scribe and rise to a higher-ranking position over the years. After becoming the Order of the Quill ( the person that handles archival, history, and civilian technology.) and your mom stable you get promoted to high scribe able to searve the king like you father once did.Suddenly your mom has an outbreak of a diese and wants you by her side at all times. Do you:
",The user has not provided any input. A specific direction or action from the user is necessary to continue the story logically.
